iso_639_3,word
afr,Dankie
als,Falemenderit
amh,አመሰግናለሁ
arg,Gracias
ara,شكرا
arz,ﺷﻜﺮﺍﹰ
ast,Gracies
azb,تشکر ادر
aze,Təşəkkür edirəm
bar,Danksche
sgs,Diekau
bak,рәхмәт
bel,Дзякуй
bul,благодаря
ben,ধন্যবাদ
bod,ཐུགས་རྗེ་ཆེ
bre,Trugarez
bos,Hvala
cat,Gràcies
cdo,謝謝
che,баркал
ckb,سوپاس
cos,À ringraziavvi
ces,Dĕkuji
chv,тав
cym,Diolch
dan,Tak
deu,Danke
ell,Ευχαριστώ
eng,Thank you
epo,Dankon
spa,Gracias
est,Tänan
eus,Eskerrik asko
ext,Gracias
fas,ممنونم
fij,Vinaka
fra,Merci
fry,Tankewol
gan,дуәще
gla,Tapadh leibh
glg,Grazas
gug,Aguyje
gom,Deu borem korum
guj,આભાર
hak,恁仔細
hau,Na gode
heb,תודה רבה
hif,Dhanbaad
hin,धन्यवाद
hrv,Hvala
hun,köszönöm
hye,շնորհակալություն
ina,Gratias
ind,Terima kasih
ibo,Ịmela; dalụ
ilo,Agyamanak
isl,Takk
ita,Grazie
iku,ᖁᔭᓇᐃᓐᓂ
jam,
jpn,ありがとう
jav,Maturnuwun sanget
kat,მადლობა
kaz,Рахмет
khm,អរគុណ
kan,ಧನ್ಯವಾದ
kor,감사합니다
ksh,
kas,शुकिया
kur,Spas
kir,Рахмат
lad,גראסיאס
lat,Tibi gratiās agō
ltz,Merci
lij,merçì
lim,
lmo,
lin,Merci
lit,Ačiū
lav,Paldies
mkd,Благодарам
mal,നന്ദി
mon,Баярлалаа
mar,आभारी आहे
msa,Terima kasih
mlt,Grazzi
mwl,
mya,ကျေးဇူးတင်ပါတယ်
nah,
nep,धन्यवाद
new,सुभाय्
nld,Dank u
nno,Takk
nob,
oci,Mercés
ori,ଧନ୍ୟବାଦ୍
pan,ਸ਼ੁਕਰਿਆ
pol,Dzięki
pms,Grassie
pnb,شُکریا
pus,تشکر
por,Obrigado
que,Solpayki
ron,Mulţumesc
rue,Дякуву
rus,Спасибо!
sah,баһыыба
sat,
scn,Grazij
sco,Thank ye
srd,Grazie
snd,مہربانی
hbs,хвала
sin, ඉස්තුති
slk,ďakujem
slv,Hvala
som,Mahadsanid
sqi,Falimin-nerit
srp,Хвала
ssw,
swe,Tack
swa,Asante
tam,நன்றி
tel,ధన్యవాదములు
tgk,Рахмат
tha,ขอบคุณ
tuk,Sag boluň
tgl,Salamat
tur,Teşekkür ederim
tso,Ndza nkhensa
tat,Räxmät
uig,رەھمەت سىزگە
ukr,Дякую
urd,بہت شكريه
uzb,Rahmat
vep,Spasib
vie,Cảm ơn ông
war,
wln,Grâce
wuu,謝謝
xmf,
yid,שכח<
zho,謝謝
